name_fa,name_en,gender
دلینا (گل),dlina gl,female
دل‌آرا,dl ara,female
دل‌انگیز,dl angiz,female
دمیتر demitr,dmitr demitr,female
دهما (پارسا),dhma parsa,female
دومارا (خیلی زیبا),domara khili ziba,female
دوماریانا (گل امید),domariana gl amid,female
دومارینا (پیروزی),domarina pirozi,female
دونا,dona,female
دوکا,doka,female
دُرّی,dori,female
دی بانو,di banoo,female
دی دخت,di dkht,female
دیانوش,dianosh,female
دیاکو,diakoo,male
دیده,dideh,female
دینا,dina,female
دیهیم,dihim,female
رؤیا,roia,female
راد,rad,male
رادمان,radman,male
رادمهر,radmhr,male
رادین,radin,male
راشر,rashr,female
رامان,raman,male
رامبد,rambd,male
رامتین,ramtin,male
رامش,ramsh,female
رامین,ramin,male
رامینا,ramina,female
راژین,razhin,female
رایان,raian,male
رایکا,raika,male
رخشان,rkhshan,male
رسا,rsa,female
رستان,rstan,male
رستم,rstm,male
رشنواد,rshnoad,male
رها,rha,male
رهام,rham,male
روان,roan,female
روجا,roja,female
رود,rod,female
رودابه,rodabeh,female
روزبه,rozbeh,male
روشنک,roshnk,female
روناک,ronak,female
روژین,rozhin,female
روژینا,rozhina,female
ریرا,rira,female
ریونیز,rioniz,male
ریکا,rika,male
زاب,zab,male
زال,zal,male
زامیاد,zamiad,male
زانا,zana,male
زانیار,zaniar,male
زاوش,zaosh,male
زربال,zrbal,male
زرتشت,zrtsht,male
زردشت,zrdsht,male
زرفام,zrfam,male
زرمهر,zrmhr,male
زری,zri,female
زرین,zrin,female
زرین‌دخت,zrin dkht,female
زند,znd,male
زوبین,zobin,male
زویا,zoia,female
زَنوِر,zanoer,female
زِنوار,zenoar,female
زیبا,ziba,female
زینا,zina,female
زیوار,zioar,female
زیور,zior,female
سارک,sark,female
سارینا,sarina,female
ساسان,sasan,male
ساغر,saghr,female
سام,sam,male
سامان,saman,male
ساناز,sanaz,female
سایه,saieh,female
ستاره,stareh,female
ستوده,stodeh,female
سرخاب,srkhab,male
سروش,srosh,male
سروناز,sronaz,female
سرگل,srgl,female
